Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2011-03-01,1325.83,-0.001,91283.5666,121729.1168,25 ans,24 mois
2011-04-01,1363.61,0.0285,93884.7266,125197.8343,25 ans,24 mois
2011-05-01,1345.2,-0.0135,92617.1934,123507.5442,25 ans,24 mois
2011-06-01,1320.64,-0.0183,90926.2385,121252.61,25 ans,24 mois
2011-07-01,1292.28,-0.0215,88973.6498,118648.7798,25 ans,24 mois
2011-08-01,1218.89,-0.0568,83920.7376,111910.5842,25 ans,24 mois
2011-09-01,1131.42,-0.0718,77898.4187,103879.6582,25 ans,24 mois
2011-10-01,1253.3,0.1077,86289.873,115069.8906,25 ans,24 mois
2011-11-01,1246.96,-0.0051,85853.3571,114487.7848,25 ans,24 mois
2011-12-01,1257.6,0.0085,86585.9235,115464.682,25 ans,24 mois
2012-01-01,1312.41,0.0436,90359.6033,120496.9865,25 ans,24 mois
2012-02-01,1365.6801,0.0406,94027.2511,125387.8945,25 ans,24 mois
2012-03-01,1408.47,0.0313,96973.3425,129316.5875,25 ans,24 mois
2012-04-01,1397.91,-0.0075,96246.2895,128347.0425,25 ans,24 mois
2012-05-01,1310.33,-0.0627,90216.3896,120306.0072,25 ans,24 mois
2012-06-01,1362.16,0.0396,93784.8973,125064.7092,25 ans,24 mois
2012-07-01,1379.3199,0.0126,94966.3595,126640.2211,25 ans,24 mois
2012-08-01,1406.58,0.0198,96843.2148,129143.0586,25 ans,24 mois
2012-09-01,1440.67,0.0242,99190.3218,132272.9896,25 ans,24 mois
2012-10-01,1412.16,-0.0198,97227.4039,129655.3852,25 ans,24 mois
2012-11-01,1416.1801,0.0028,97504.1827,130024.4774,25 ans,24 mois
2012-12-01,1426.1899,0.0071,98193.3648,130943.5204,25 ans,24 mois
2013-01-01,1498.11,0.0504,103145.0693,137546.7529,25 ans,24 mois
2013-02-01,1514.6801,0.0111,104285.9207,139068.1092,25 ans,24 mois
2013-03-01,1569.1899,0.036,108038.9336,144072.8539,25 ans,24 mois
