Short_Name_Etf,Ticker_Etf_Yf,Ticker_Etf,Devise,Place_Boursiere_Etf,Volume_Moyen,Frais_pct
BNP PARIBAS EASY ESG Enhanced E,AEMUS.PA,AEMUS,EUR,PAR,38832.0,
21Shares Ethereum Staking ETP,AETH.PA,AETH,EUR,PAR,3430.0,
BNP PARIBAS EASY ESG Enhanced E,AEUSE.PA,AEUSE,EUR,PAR,8899.0,
AMUNDI FLOATING RATE USD CORPOR,AFLE.PA,AFLE,EUR,PAR,862.0,0.2
AMUNDI FLOATING RATE USD CORPOR,AFLT.PA,AFLT,USD,PAR,3077.0,0.18
Amundi EUR Floating Rate Corpor,AFRHG.PA,AFRHG,GBP,PAR,420.0,0.2
Amundi EUR Floating Rate Corpor,AFRHU.PA,AFRHU,USD,PAR,39.0,0.2
AMUNDI FLOATING RATE EURO CORPO,AFRN.PA,AFRN,EUR,PAR,2263.0,0.18
Amundi USD Emerging Markets Gov,AGEB.PA,AGEB,USD,PAR,589.0,0.25
BNP PARIBAS EASY ESG Enhanced E,AGES.PA,AGES,EUR,PAR,2319.0,
BNP Paribas Easy ESG Enhanced E,AGESD.PA,AGESD,EUR,PAR,482.0,
AMUNDI EURO HIGH YIELD BOND ESG,AHYE.PA,AHYE,EUR,PAR,805.0,0.35
AXA IM US High Yield Opportunit,AHYU.PA,AHYU,USD,PAR,31.0,
iShares AI Adopters & Applicati,AIAA-EUR.PA,AIAA-EUR,EUR,PAR,,
21Shares Immutable ETP,AIMX-EUR.PA,AIMX-EUR,EUR,PAR,,
iShares AI Infrastructure UCITS,AINF-EUR.PA,AINF-EUR,EUR,PAR,,
21Shares Injective Staking ETP,AINJ-EUR.PA,AINJ-EUR,EUR,PAR,,
AXA IM Euro Credit PAB UCITS ET,AIPE.PA,AIPE,EUR,PAR,1882.0,
AXA IM USD Credit PAB UCITS ETF,AIPU.PA,AIPU,USD,PAR,62.0,
BNP PARIBAS EASY ESG ENHANCED J,AJASE.PA,AJASE,EUR,PAR,5649.0,
BNP Paribas Easy ESG Enhanced J,AJASH.PA,AJASH,EUR,PAR,0.0,
BNP PARIBAS EASY ESG ENHANCED J,AJASR.PA,AJASR,EUR,PAR,4.0,
AMUNDI MSCI EM LATIN AMERICA UC,ALAT.PA,ALAT,EUR,PAR,12340.0,0.2
AMUNDI MSCI EM LATIN AMERICA UC,ALAU.PA,ALAU,USD,PAR,5301.0,0.2
21Shares Algorand ETP,ALGO.PA,ALGO,EUR,PAR,1638.0,
21Shares Chainlink ETP,ALINK.PA,ALINK,EUR,PAR,1881.0,
WisdomTree Physical Crypto Altc,ALTC-EUR.PA,ALTC-EUR,EUR,PAR,,
21Shares Crypto Mid-Market Inde,ALTS-EUR.PA,ALTS-EUR,EUR,PAR,,
Amundi Euro Government Bond Hig,AM3A.PA,AM3A,EUR,PAR,383.0,0.14
Tracker Securities on AMINAX In,AMINA.PA,AMINA,EUR,PAR,,
Amundi Global Hydrogen UCITS ET,ANRJ.PA,ANRJ,EUR,PAR,531.0,
Amundi Nasdaq-100 Swap UCITS ET,ANX.PA,ANX,EUR,PAR,3725.0,0.23
Amundi Nasdaq-100 Swap UCITS ET,ANXU.PA,ANXU,USD,PAR,1459.0,0.23
21Shares Optimism ETP,AOPT-EUR.PA,AOPT-EUR,EUR,PAR,,
21Shares Aptos Staking ETP,APTOS.PA,APTOS,EUR,PAR,795.0,2.5
Amundi MSCI AC Asia Ex Japan UC,APX.PA,APX,EUR,PAR,280.0,0.5
Future of European Defence Scre,ARMY.PA,ARMY,EUR,PAR,8901.0,
Amundi MSCI China ESG Selection,ASI.PA,ASI,EUR,PAR,4724.0,0.65
21Shares Solana Staking ETP,ASOL-EUR.PA,ASOL-EUR,EUR,PAR,,
21Shares Stacks Staking ETP,ASTX-EUR.PA,ASTX-EUR,EUR,PAR,,
21Shares Sui Staking ETP,ASUI-EUR.PA,ASUI-EUR,EUR,PAR,,
21Shares Celestia Staking ETP,ATIA.PA,ATIA,EUR,PAR,,
Amundi MSCI Emerging Markets Sw,AUEM.PA,AUEM,USD,PAR,116828.0,0.2
21Shares Uniswap ETP,AUNI-EUR.PA,AUNI-EUR,EUR,PAR,,
BNP PARIBAS EASY ESG ENHANCED U,AUSSD.PA,AUSSD,USD,PAR,590.0,
