Date,Close,Rendement du mois,Rendement LP,Rendement DCA x mois,Durée,Mois DCA
,^GSPC,,,,,
2023-03-01,4109.3101,0.0351,14109.5585,10136.4335,5 ans,12 mois
2023-04-01,4169.48,0.0146,14316.1555,10284.8547,5 ans,12 mois
2023-05-01,4179.8301,0.0025,14351.6932,10310.3852,5 ans,12 mois
2023-06-01,4450.3799,0.0647,15280.6419,10977.7503,5 ans,12 mois
2023-07-01,4588.96,0.0311,15756.4648,11319.5858,5 ans,12 mois
2023-08-01,4507.6602,-0.0177,15477.3171,11119.0436,5 ans,12 mois
2023-09-01,4288.0498,-0.0487,14723.272,10577.3308,5 ans,12 mois
2023-10-01,4193.7998,-0.022,14399.6591,10344.8444,5 ans,12 mois
2023-11-01,4567.7998,0.0892,15683.8101,11267.39,5 ans,12 mois
2023-12-01,4769.8301,0.0442,16377.493,11765.738,5 ans,12 mois
2024-01-01,4845.6499,0.0159,16637.8248,11952.7628,5 ans,12 mois
2024-02-01,5096.27,0.0517,17498.3438,12570.9673,5 ans,12 mois
2024-03-01,5254.3501,0.031,18041.1211,12960.9034,5 ans,12 mois
2024-04-01,5035.6899,-0.0416,17290.3385,12421.5344,5 ans,12 mois
2024-05-01,5277.5098,0.048,18120.6411,13018.0313,5 ans,12 mois
2024-06-01,5460.48,0.0347,18748.8802,13469.3639,5 ans,12 mois
2024-07-01,5522.2998,0.0113,18961.1422,13621.8548,5 ans,12 mois
2024-08-01,5648.3999,0.0228,19394.1143,13932.9059,5 ans,12 mois
2024-09-01,5762.48,0.0202,19785.815,14214.3072,5 ans,12 mois
2024-10-01,5705.4502,-0.0099,19589.9999,14073.6318,5 ans,12 mois
2024-11-01,6032.3799,0.0573,20712.5322,14880.0691,5 ans,12 mois
2024-12-01,5881.6299,-0.025,20194.9232,14508.2142,5 ans,12 mois
2025-01-01,6040.5298,0.027,20740.5154,14900.1725,5 ans,12 mois
2025-02-01,5954.5,-0.0142,20445.1271,14687.9629,5 ans,12 mois
2025-03-01,5611.8501,-0.0575,19268.6184,13842.7485,5 ans,12 mois
2025-04-01,5363.3599,-0.0443,18415.4125,13229.7977,5 ans,12 mois
2000-05-01,1420.6,-0.0219,9780.8495,407.5354,25 ans,24 mois
2000-06-01,1454.6,0.0239,10014.9399,834.1744,25 ans,24 mois
2000-07-01,1430.83,-0.0163,9851.283,1244.0322,25 ans,24 mois
2000-08-01,1517.6801,0.0607,10449.2471,1685.9901,25 ans,24 mois
2000-09-01,1436.51,-0.0535,9890.3903,2080.3722,25 ans,24 mois
2000-10-01,1429.4,-0.0049,9841.4379,2494.9766,25 ans,24 mois
2000-11-01,1314.95,-0.0801,9053.4477,2878.2814,25 ans,24 mois
2000-12-01,1320.28,0.0041,9090.1453,3296.637,25 ans,24 mois
2001-01-01,1366.01,0.0346,9404.9969,3727.7355,25 ans,24 mois
2001-02-01,1239.9399,-0.0923,8537.0028,4105.9477,25 ans,24 mois
2001-03-01,1160.33,-0.0642,7988.887,4495.8624,25 ans,24 mois
2001-04-01,1249.46,0.0768,8602.5482,4944.5351,25 ans,24 mois
2001-05-01,1255.8199,0.0051,8646.3368,5363.3227,25 ans,24 mois
2001-06-01,1224.38,-0.025,8429.8724,5769.5579,25 ans,24 mois
2001-07-01,1211.23,-0.0107,8339.3343,6181.7495,25 ans,24 mois
2001-08-01,1133.58,-0.0641,7804.7129,6571.7043,25 ans,24 mois
2001-09-01,1040.9399,-0.0817,7166.8852,6954.3196,25 ans,24 mois
2001-10-01,1059.78,0.0181,7296.5994,7378.5276,25 ans,24 mois
2001-11-01,1139.45,0.0752,7845.1279,7826.5175,25 ans,24 mois
2001-12-01,1148.08,0.0076,7904.5456,8246.34,25 ans,24 mois
2002-01-01,1130.2,-0.0156,7781.4415,8656.5175,25 ans,24 mois
2002-02-01,1106.73,-0.0208,7619.8505,9064.5316,25 ans,24 mois
2002-03-01,1147.39,0.0367,7899.7953,9496.5061,25 ans,24 mois
2002-04-01,1076.92,-0.0614,7414.6086,9887.5821,25 ans,24 mois
2002-05-01,1067.14,-0.0091,7347.273,9797.7882,25 ans,24 mois
2002-06-01,989.82,-0.0725,6814.9238,9087.886,25 ans,24 mois
2002-07-01,911.62,-0.079,6276.5156,8369.9042,25 ans,24 mois
2002-08-01,916.07,0.0049,6307.154,8410.7613,25 ans,24 mois
2002-09-01,815.28,-0.11,5613.2137,7485.373,25 ans,24 mois
2002-10-01,885.76,0.0864,6098.4693,8132.4745,25 ans,24 mois
2002-11-01,936.31,0.0571,6446.5066,8596.5918,25 ans,24 mois
2002-12-01,879.82,-0.0603,6057.5723,8077.9373,25 ans,24 mois
2003-01-01,855.7,-0.0274,5891.5058,7856.4831,25 ans,24 mois
2003-02-01,841.15,-0.017,5791.329,7722.8946,25 ans,24 mois
2003-03-01,848.18,0.0084,5839.7304,7787.4392,25 ans,24 mois
2003-04-01,916.92,0.081,6313.0061,8418.5652,25 ans,24 mois
2003-05-01,963.59,0.0509,6634.33,8847.0593,25 ans,24 mois
2003-06-01,974.5,0.0113,6709.4453,8947.2276,25 ans,24 mois
2003-07-01,990.31,0.0162,6818.2973,9092.3848,25 ans,24 mois
2003-08-01,1008.01,0.0179,6940.1622,9254.8948,25 ans,24 mois
2003-09-01,995.97,-0.0119,6857.2663,9144.351,25 ans,24 mois
2003-10-01,1050.71,0.055,7234.1519,9646.9381,25 ans,24 mois
2003-11-01,1058.2,0.0071,7285.7206,9715.7064,25 ans,24 mois
2003-12-01,1111.92,0.0508,7655.5841,10208.9295,25 ans,24 mois
2004-01-01,1131.13,0.0173,7787.8449,10385.3029,25 ans,24 mois
